country,isocode,year,POP,XRAT,Currency_Unit,ppp,cgdp,cc,cg,ci,p,pc,pg,pi,openc,cgnp,y,yEKS,yCPDW,rgdpl,rgdpl2,rgdpch,rgdpeqa,rgdpwok,rgdpl2wok,rgdpl2pe,rgdpl2te,rgdpl2th,rgdptt,openk,kc,kg,ki,grgdpch,grgdpl2
Afghanistan,AFG,1980,15112.149,0.0441291667,Afghani,0.0262300141,405.42253701,77.668815827,11.164304896,14.101820145,59.439178246,64.145812328,31.495919683,55.638843483,25.876277009,102.05479438,3.3343725047,3.4511672743,3.3127822278,812.43154275,821.06725204,811.82298644,1031.13279,2491.0468195,2519.4124839,,,,812.43154411,26.151327683,78.133047083,10.579140495,14.253950301,-0.885781565,-0.891534146
Afghanistan,AFG,1981,13812.973,0.0494799022,Afghani,0.0252371115,493.77601126,77.214741226,11.054994182,14.590095781,51.004772276,55.134328453,27.367048476,47.060472435,25.673009292,102.09058696,3.6567098546,3.7960330632,3.6303661187,908.50835603,917.63217211,907.83288985,1153.9732503,2790.8532102,2820.9780919,,,,908.50835576,25.930834064,77.759205264,10.601336014,14.528010117,11.826457862,11.760902634
Afghanistan,AFG,1982,12881.816,0.0505996079,Afghani,0.0235823351,572.79717301,77.425521666,10.881246621,14.49623905,46.605766401,50.306706364,25.287995718,42.84042514,25.99274442,100,4.1183048047,4.2942145271,4.1187447986,993.61227897,1003.9853537,992.8395033,1263.0068738,3063.2955103,3097.6847881,,,,993.61227737,26.264102686,77.889947352,10.556234982,14.386087563,9.3636851457,9.4104352727
Afghanistan,AFG,1983,12934.937,0.0505996079,Afghani,0.0214865729,618.90350419,77.654802913,10.811847706,14.399275717,42.463911845,45.72570126,23.239936829,39.307716704,25.847344254,100,4.1327353679,4.3138970407,4.1425716951,1038.2336717,1049.0007364,1037.4310712,1320.757284,3207.3799337,3243.1493579,,,,1038.2336717,26.115394808,77.927364998,10.578906506,14.389376092,4.491316853,4.4836692648
Afghanistan,AFG,1984,13387.737,0.0505996064,Afghani,0.0202691362,626.61621954,77.682654737,10.768516794,14.391749836,40.057892957,43.085158187,22.013088689,37.219445774,25.837699588,100,3.7948003476,3.9642231599,3.7935819705,1021.5928598,1032.0992151,1020.8059818,1300.6017366,3167.8573137,3202.9034951,,,,1021.5928652,26.103421796,77.858827962,10.578828909,14.434502462,-1.602524726,-1.611202051
Afghanistan,AFG,1985,13796.928,0.0505996053,Afghani,0.0194023681,627.90876387,77.611554241,10.793189944,14.432541197,38.344900016,41.294811849,21.006985704,35.447569657,25.89259582,100,3.5756774521,3.7410327964,3.5800747725,993.85852136,1004.1597306,993.09186482,1266.2753991,3088.1725636,3122.5898019,,,,993.85851491,26.160969138,77.892045385,10.571324152,14.403323257,-2.714925017,-2.707054134
Afghanistan,AFG,1986,13856.1,0.0505996053,Afghani,0.0183580649,660.53491807,77.756876957,10.763102482,14.328732094,36.281043757,39.000471563,19.94185316,33.796955827,25.859213032,100,3.5901668339,3.7511742035,3.5976834734,1019.2489336,1029.7878705,1018.463805,1299.4689207,3178.4972088,3213.8381904,,,,1019.2489281,26.126594672,77.892745391,10.576352812,14.409068179,2.5548432225,2.5521975414
Afghanistan,AFG,1987,13867.957,0.0505996053,Afghani,0.0172527922,610.65686531,77.698627326,10.823294028,14.321051395,34.096693165,36.674808508,18.635690241,31.793996128,25.863169817,100,3.1532643786,3.2895113881,3.1582239753,913.85347068,923.29328832,913.14926537,1165.8530326,2854.9632195,2886.6785299,,,,913.85346499,26.130327702,77.881205151,10.575502081,14.415631886,-10.34052846,-10.34140965
Afghanistan,AFG,1988,14076.478,0.0505996053,Afghani,0.0167877143,570.48559019,77.702949511,10.818500811,14.321539146,33.177559866,35.687076031,18.139194496,30.921919632,25.871659154,100,2.7603464914,2.8781217245,2.7695849894,825.81720275,834.36013124,825.1808188,1054.224427,2589.2158686,2618.0183091,,,,825.81720107,26.139296875,77.888665259,10.574393019,14.409341188,-9.633523226,-9.632167612
Afghanistan,AFG,1989,14511.868,0.0505996053,Afghani,0.021871984,532.80472226,77.526029593,10.947553131,14.37130828,43.225601999,46.600881544,23.356591671,40.153162469,25.864681068,100,2.4217583508,2.5199221075,2.4312853513,744.50161952,752.19837683,743.92799656,951.03599506,2339.535337,2365.5443688,,,,744.50161873,26.132073417,77.887538598,10.575416441,14.41134672,-9.846668802,-9.847277133
